"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","24 Feb 2026","61392.1","61435.65","60801.85","61047.30"
"NIFTY BANK","23 Feb 2026","61145.55","61517.8","61029.15","61264.25"
"NIFTY BANK","20 Feb 2026","60627.85","61360.5","60562.35","61172.00"
"NIFTY BANK","19 Feb 2026","61660.85","61678.8","60592.9","60739.55"
"NIFTY BANK","18 Feb 2026","61255.35","61596.85","61100.9","61550.80"
"NIFTY BANK","17 Feb 2026","60821.15","61241.6","60560","61174.00"
"NIFTY BANK","16 Feb 2026","59947.8","61011.3","59861.1","60949.10"
"NIFTY BANK","13 Feb 2026","60504.4","60621.9","60073.55","60186.65"
"NIFTY BANK","12 Feb 2026","60786.15","60864.4","60597.65","60739.75"
"NIFTY BANK","11 Feb 2026","60670.25","60779.95","60444.65","60745.35"
"NIFTY BANK","10 Feb 2026","60740.8","60797.55","60531.55","60626.40"
"NIFTY BANK","09 Feb 2026","60805.2","60876.2","60495.7","60669.35"
"NIFTY BANK","06 Feb 2026","59967.1","60149.9","59644.55","60120.55"
"NIFTY BANK","05 Feb 2026","60315.35","60328.3","59881.05","60063.65"
"NIFTY BANK","04 Feb 2026","60163.35","60389.4","59891.75","60238.15"
"NIFTY BANK","03 Feb 2026","61411.2","61764.85","59793.2","60041.30"
"NIFTY BANK","02 Feb 2026","58239.3","58687.05","57829.85","58619.00"
"NIFTY BANK","01 Feb 2026","59607.65","59865.7","57783.2","58417.20"
"NIFTY BANK","30 Jan 2026","59542.25","59906.9","59501.8","59610.45"
"NIFTY BANK","29 Jan 2026","59416.25","60060.7","59339","59957.85"
"NIFTY BANK","28 Jan 2026","59575.65","59699.9","59240.1","59598.80"
"NIFTY BANK","27 Jan 2026","58366.05","59436.8","58121.6","59205.45"
"NIFTY BANK","23 Jan 2026","59305.15","59400.15","58346.25","58473.10"
"NIFTY BANK","22 Jan 2026","59194.25","59573.1","58823.05","59200.10"
"NIFTY BANK","21 Jan 2026","59142","59447.35","58278.6","58800.30"
"NIFTY BANK","20 Jan 2026","59851.4","59993.5","59283.95","59404.20"
"NIFTY BANK","19 Jan 2026","60093.3","60107.5","59594.6","59891.35"
"NIFTY BANK","16 Jan 2026","59590.35","60235.15","59510.5","60095.15"
"NIFTY BANK","14 Jan 2026","59330.35","59796.65","59324.2","59580.15"
"NIFTY BANK","13 Jan 2026","59767.55","59767.55","59312.05","59578.80"
"NIFTY BANK","12 Jan 2026","59217.25","59541.1","58864.2","59450.50"
"NIFTY BANK","09 Jan 2026","59558.15","59739.65","59154.2","59251.55"
"NIFTY BANK","08 Jan 2026","59893.15","60112.85","59564.8","59686.50"
"NIFTY BANK","07 Jan 2026","60039.7","60065.4","59760.65","59990.85"
"NIFTY BANK","06 Jan 2026","59957.8","60305","59844.8","60118.40"
"NIFTY BANK","05 Jan 2026","60360.4","60437.35","59859.8","60044.20"
"NIFTY BANK","02 Jan 2026","59757.4","60203.75","59738.25","60150.95"
"NIFTY BANK","01 Jan 2026","59674.8","59743.2","59569.65","59711.55"
